latitude,longitude,list_of_name_keys,list_of_names,list_of_reference_keys,list_of_method_keys,timestamp_min,timestamp_max,num_measurements
-81.035,-59.85,14,Filchner Ice Shelf (Ellsworth) Traverse 1957-1958,3,-9999,1957-12-20,1957-12-20,1
-80.997,-168.994,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1975-01-01,1975-01-01,1
-80.983,134.333,25,McMurdo-Pole Traverse 1960-1961,14,-9999,1961-01-11,1961-01-11,1
-80.982,-160.458,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1975-01-01,1975-01-01,1
-80.958,161.21,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-80.951,179.833,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-80.95,-61.275,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1958-02-20,1958-02-20,1
-80.927,-47.983,14,Filchner Ice Shelf (Ellsworth) Traverse 1957-1958,3,-9999,1957-12-05,1957-12-05,1
-80.84,-111.883,19,Ellsworth-Byrd Station Traverse 1958-1959,7,-9999,1959-01-01,1959-01-01,1
-80.811,170.421,33,Ross Ice Shelf Geophysical and Glaciological Survey (RIGGS),21,6,1977-01-01,1977-01-01,1
-80.8,29.833,42,South Pole-Queen Maud Land Traverse II,30,-9999,1966-01-22,1966-01-22,1
-80.783,-118.1,41,Byrd Station to South Pole Traverse 1960-1961,29,-9999,1960-12-31,1960-12-31,1
